😀	елмаю,шатлык,көлү,бит
😄	елмаю,бәхет,шатлык,көлү
😂	көлү,яшь,шаян
🤣	көлү,шаян,яшь
🙂	елмаю,бит,тыныч
😉	күз кысу,шаян,елмаю
😊	бәхет,елмаю,шат,йомшак
😇	фәрештә,изге,нур
🥰	сөю,мәхәббәт,йомшаклык,елмаю
😍	мәхәббәт,сөю,йөрәк,гашыйк
🤩	йолдыз,соклану,куаныч
😘	үбү,сөю,үбешү
😜	тел,шаян,елмаю
🤗	кочаклау,кочак,сөенеч
🤭	көлү,оялу,авыз
🤫	тынлык,сер,тавышсыз
🤔	уйлау,уйчан,сорау
😴	йокы,йоклау,төн
😷	авыру,маска,битлек
🤒	авыру,эссе,үлчәү
🥶	салкын,боз,кыш
🤯	шашу,акыл,гаҗәп
🥳	бәйрәм,туган көн,куаныч
😎	кояш,күзлек,салкынча,кызык
🥺	үтенеч,ялыныш,сөйкемле,күзләр
😢	елау,кайгы,яшь
😭	елау,кайгы,яшь,зар
😱	курку,куркыныч,вай
😞	кайгы,өметсез,моңсу
😡	ачу,ачулану,кызару
🤬	сүгенү,ачу
💀	баш сөяге,үлем,курку
💩	тезәк,шаян,ис
🤡	клоун,цирк,шаян
👻	өрәк,курку,шаян
🤖	робот,техника,машина
😺	мәче,елмаю,көлү
😻	мәче,мәхәббәт,йөрәк,сөю
🙈	маймыл,күрмәү,оялу
👋	сәлам,исәнмесез,кул,исәнләшү
👌	яхшы,әйбәт,тамаша,килешү
✌️	җиңү,тынычлык,бармаклар
🤞	өмет,уңыш,бармаклар
👍	яхшы,әйбәт,килешү,бармак
👎	начар,яман,килешмәү,бармак
👏	алкыш,кул чабу,мактав
🙌	куаныч,куллар,бәйрәм
🤝	исәнләшү,килешү,кул алушу,дуслык
🙏	рәхмәт,дога,үтенеч,куллар
💪	көч,куәт,мускул,спорт
👀	күзләр,карау,күзәтү
👶	бәби,бала,кечкенә
👨	ир-ат,әти,кеше
👩	хатын-кыз,әни,кеше
👴	бабай,олы,ир-ат
👵	әби,олы,хатын-кыз
🤷	белмим,сорау,җилкә
🎅	кыш бабай,яңа ел,бүләк
💃	бию,бәйрәм,җыр
🏃	йөгерү,спорт,тиз,ярыш
❤️	йөрәк,мәхәббәт,сөю,кызыл
💛	йөрәк,сары,дуслык
💚	йөрәк,яшел,сөю
💙	йөрәк,зәңгәр,сөю
💜	йөрәк,шәмәхә,сөю
🖤	йөрәк,кара
🤍	йөрәк,ак
💔	сынган йөрәк,кайгы,мәхәббәт
💕	йөрәкләр,мәхәббәт,сөю
💯	йөз,бик яхшы,билге
