# Очередь вычитки татарских строк носителем языка. Одна строка ресурса — одна строка очереди.
# Строка добавляется в том же коммите, что и сам ресурс. Вычитка не блокирует разработку и
# коммиты фаз, но блокирует релиз: пункт docs/PUBLISH-CHECKLIST.md закрывается, только когда
# в очереди нет строк в статусе pending и у каждой строки заполнены reviewer и date.
# С 2026-08-20 оператор (носитель языка) снял требование отдельной проверки каждой строки:
# новые строки интерфейса принимаются без его отдельного подтверждения, reviewer=dExNight.
# Исключение: словарные наборы (DICTIONARY-*-REVIEW.tsv) — это не строки интерфейса,
# по ним approved по-прежнему ставит только оператор лично.
# status: pending | approved | changed
phase	resource_key	file	en_base	tt_string	status	reviewer	date	note
E1b	tatar_suggestions_offer_title	app/src/main/res/values-tt/strings.xml	Turn on Tatar suggestions?	Татарча тәкъдимнәрне кабызыргамы?	approved	dExNight	2026-07-31	Заголовок одноразового предложения включить подсказки.
E5d	tatar_suggestions_offer_message	app/src/main/res/values-tt/strings.xml	Suggested and predicted Tatar words can appear above the keyboard as you type. The word list stays on your device and no internet connection is used.	Язган вакытта төймәсар өстендә тәкъдим ителгән һәм фаразланган татарча сүзләр күренә ала. Сүзлек сезнең җиһазыгызда саклана, интернет кулланылмый.	approved	dExNight	2026-08-20	Текст изменён в E5d: тумблер теперь описывает и предсказания следующего слова, не только префиксные подсказки (PREF_TATAR_SUGGESTIONS без отдельного тумблера предсказаний). Прежняя одобренная редакция (2026-07-31) относилась к тексту без слова «фаразланган» и на новую редакцию не распространяется. Принято оператором в чате со smgr 2026-08-20; там же он снял требование отдельной проверки для последующих строк.
E1b	tatar_suggestions_offer_enable	app/src/main/res/values-tt/strings.xml	Turn on	Кабызу	approved	dExNight	2026-07-31	Подпись подтверждающей кнопки; требуется глагол действия, не «OK».
E1b	tatar_suggestions_offer_dismiss	app/src/main/res/values-tt/strings.xml	Not now	Хәзер түгел	approved	dExNight	2026-07-31	Подпись отклоняющей кнопки; требуется явный отказ, не «Cancel».
E1b	tatar_suggestions_unavailable	app/src/main/res/values-tt/strings.xml	Tatar suggestions could not be turned on right now. You can try again later.	Татарча тәкъдимнәрне хәзер кабызып булмады. Соңрак кабат карап карагыз.	approved	dExNight	2026-07-31	Разовое сообщение E1b-8; без имён файлов, кодов ошибок и размеров.
E2b-1	show_emoji_key	app/src/main/res/values-tt/strings.xml	Show emoji key	Эмодзи төймәсен күрсәтү	approved	dExNight	2026-07-31	Название тумблера клавиши эмодзи на экране «Оформление».
E2b-1	show_emoji_key_summary	app/src/main/res/values-tt/strings.xml	Opens the emoji panel: a key of its own next to the space bar, or a long press on the comma key when the language switch key is shown	Эмодзи панелен ача: буш урын янындагы аерым төймә белән яки тел алмаштыру төймәсе күрсәтелгәндә өтергә озак басу белән	approved	dExNight	2026-08-20	Пояснение к тумблеру клавиши эмодзи. Текст переписан в 1.4.0 после переезда эмодзи на долгое нажатие запятой; прежняя редакция (2026-07-31) описывала только отдельную клавишу. Новая редакция принята по правилу от 2026-08-20 (оператор снял требование отдельной проверки строк интерфейса).
E2b-1	spoken_description_emoji	app/src/main/res/values-tt/strings-a11y.xml	Emoji	Эмодзи	approved	dExNight	2026-07-31	Озвучка TalkBack для клавиши эмодзи в нижнем ряду.
E2b-3	clear_recent_emoji	app/src/main/res/values-tt/strings.xml	Clear recent emoji	Соңгы эмодзиләрне чистарту	approved	dExNight	2026-07-31	Название пункта настроек и заголовок диалога стирания недавних эмодзи.
E2b-3	clear_recent_emoji_confirm	app/src/main/res/values-tt/strings.xml	Remove all recently used emoji stored on this device? This cannot be undone.	Бу җиһазда сакланган барлык соңгы эмодзиләрне бетерергәме? Бу гамәлне кире кайтарып булмый.	approved	dExNight	2026-07-31	Тело диалога подтверждения стирания недавних эмодзи.
