prefix	exact_candidates	fuzzy_added	status	reviewer	review_date	note
сә	сәнгать|сәламәтлек|сәүдә		pending			2 code points — below the 3-code-point fuzzy gate; no class-1 candidate generated. Machine-computed by E3aRecoveryCalibrationTest; awaits human review.
рәх	рәхмәт|рәхәтләнеп|рәхмәтен		pending			Exact pass fills all three cells; fuzzy level not run — 0 added. Machine-computed; awaits human review.
исәнм	исәнмесез|исәнме		pending			Exact pass returned 2 (<3); fuzzy pass ran, but its class-1 variants match no dictionary word — 0 added. Machine-computed; awaits human review.
хәерл	хәерле|хәерлерәк|хәерлесе		pending			Exact pass fills all three cells; fuzzy level not run — 0 added. Machine-computed; awaits human review.
безн	безнең|безне|безнекеләр		pending			Exact pass fills all three cells; fuzzy level not run — 0 added. Machine-computed; awaits human review.
татарч	татарча|татарчага|татарчаны		pending			Exact pass fills all three cells; fuzzy level not run — 0 added. Machine-computed; awaits human review.
кеш	кеше|кешеләр|кешенең		pending			Exact pass fills all three cells; fuzzy level not run — 0 added. Machine-computed; awaits human review.
бал	балалар|бала|балаларны		pending			Exact pass fills all three cells; fuzzy level not run — 0 added. Machine-computed; awaits human review.
мәкт	мәктәп|мәктәбе|мәктәптә		pending			Exact pass fills all three cells; fuzzy level not run — 0 added. Machine-computed; awaits human review.
китап	китаплар|китапханә|китапны		pending			Exact pass fills all three cells; fuzzy level not run — 0 added. Machine-computed; awaits human review.
эшл	эшләр|эшли|эшләре		pending			Exact pass fills all three cells; fuzzy level not run — 0 added. Machine-computed; awaits human review.
йорт	йорты|йортында|йортлары		pending			Exact pass fills all three cells; fuzzy level not run — 0 added. Machine-computed; awaits human review.
авыл	авылында|авылы|авылда		pending			Exact pass fills all three cells; fuzzy level not run — 0 added. Machine-computed; awaits human review.
шәһ	шәһәр|шәһәре|шәһәрендә		pending			Exact pass fills all three cells; fuzzy level not run — 0 added. Machine-computed; awaits human review.
вак	вакытта|вакытында|вакыт		pending			Exact pass fills all three cells; fuzzy level not run — 0 added. Machine-computed; awaits human review.
көн	көнне|көндә|көне		pending			Exact pass fills all three cells; fuzzy level not run — 0 added. Machine-computed; awaits human review.
тел	теле|телен|телендә		pending			Exact pass fills all three cells; fuzzy level not run — 0 added. Machine-computed; awaits human review.
гаил	гаилә|гаиләсе|гаиләдә		pending			Exact pass fills all three cells; fuzzy level not run — 0 added. Machine-computed; awaits human review.
әни	әнисе|әнием|әниләр		pending			Exact pass fills all three cells; fuzzy level not run — 0 added. Machine-computed; awaits human review.
әти	әтисе|әтием|әтисенең		pending			Exact pass fills all three cells; fuzzy level not run — 0 added. Machine-computed; awaits human review.
дус	дуслык|дуслары|дуслыгы		pending			Exact pass fills all three cells; fuzzy level not run — 0 added. Machine-computed; awaits human review.
яң	яңа|яңадан|яңгырады		pending			2 code points — below the 3-code-point fuzzy gate; no class-1 candidate generated. Machine-computed by E3aRecoveryCalibrationTest; awaits human review.
